"X","imp_rf","imp2","imp3","imp4","imp5","imp6","imp7","imp8","imp9","imp10","imp11","imp12","imp13","imp14","imp15","imp16","imp17","imp18","imp19","imp20","imp21","imp22","imp23","imp24","imp25","imp_rf","imp2","imp3","imp4","imp5","imp6","imp7","imp8","imp9","imp10","imp11","imp12","imp13","imp14","imp15","imp16","imp17","imp18","imp19","imp20","imp21","imp22","imp23","imp24","imp25"
"extracapsular_spread_pathologic"," 1.030928e-03","-2.061856e-04","-2.061856e-04"," 1.237113e-03"," 0.000000e+00","-4.123711e-04"," 2.061856e-03"," 4.123711e-04","-2.061856e-04"," 4.123711e-04"," 1.855670e-03"," 0.000000e+00"," 2.061856e-04"," 2.061856e-04"," 4.123711e-04"," 1.237113e-03"," 6.185567e-04"," 8.247423e-04"," 1.030928e-03"," 2.220446e-18"," 1.443299e-03"," 4.123711e-04"," 1.649485e-03","-8.247423e-04"," 1.855670e-03",0.000206185567010307,0.000618556701030929,0.00144329896907216,0.000412371134020619,-0.000206185567010307,0.000618556701030929,0.000412371134020618,0.00164948453608247,-0.000618556701030929,0.00144329896907216,0.00144329896907217,-0.000206185567010309,0.00185567010309278,0.00144329896907216,0.000206185567010309,0.000412371134020618,0.000412371134020619,0.00185567010309278,-0.000824742268041241,0.00164948453608248,0.00164948453608248,0.000824742268041235,-0.000412371134020618,-0.000824742268041239,0.000618556701030929
"tobacco_smokeless_average_per_day","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gender","-2.061856e-04","-4.123711e-04"," 0.000000e+00","-8.247423e-04","-6.185567e-04"," 1.110223e-18"," 7.216495e-04"," 3.092784e-04"," 4.123711e-04","-1.030928e-03"," 4.123711e-04","-2.061856e-04","-2.061856e-04"," 3.092784e-04","-2.061856e-04","-1.030928e-04","-2.061856e-04","-4.123711e-04","-6.185567e-04"," 4.123711e-04"," 6.185567e-04","-2.061856e-04"," 6.185567e-04","-6.185567e-04","-4.123711e-04",0.00020618556701031,0,-0.000721649484536081,-0.000206185567010311,-0.00020618556701031,0.000206185567010309,-0.000618556701030928,-0.000206185567010311,1.11022302462516e-18,-0.000309278350515463,-1.11022302462516e-18,0.000412371134020618,-0.00020618556701031,-0.000206185567010309,0,-0.000824742268041237,-0.000824742268041235,-0.000412371134020618,-0.000206185567010311,0.000412371134020618,-0.000618556701030928,-1.11022302462516e-18,-0.000412371134020619,-0.000412371134020619,0.000412371134020618
"tumor_grade"," 2.061856e-04","-2.061856e-04"," 2.061856e-04"," 1.030928e-04"," 6.185567e-04"," 1.110223e-18"," 4.123711e-04"," 1.110223e-18"," 6.185567e-04","-6.185567e-04","-3.092784e-04","-1.030928e-04","-2.061856e-04"," 5.154639e-04","-4.123711e-04"," 2.061856e-04","-2.061856e-04","-3.092784e-04"," 1.110223e-18"," 3.092784e-04","-5.154639e-04","-2.061856e-04"," 5.154639e-04","-8.247423e-04","-2.061856e-04",1.11022302462516e-18,-0.00020618556701031,1.11022302462516e-18,0.000103092783505154,-0.000206185567010309,1.11022302462516e-18,-0.000412371134020617,-0.000412371134020619,-0.000309278350515464,-0.000927835051546393,-0.000309278350515464,2.22044604925031e-18,0.000103092783505155,0.000103092783505155,0.000618556701030928,-0.000206185567010309,0,0.000309278350515463,-0.000721649484536082,-0.000824742268041236,0.000721649484536082,-0.000309278350515464,0.000412371134020619,0.000721649484536083,-1.11022302462516e-18
"tobacco_smoking_history_indicator"," 3.092784e-04"," 1.030928e-03"," 1.649485e-03"," 3.092784e-04"," 4.123711e-04"," 5.154639e-04","-1.030928e-04"," 2.061856e-04","-2.061856e-04"," 9.278351e-04","-7.216495e-04"," 6.185567e-04"," 6.185567e-04"," 5.154639e-04","-4.123711e-04"," 1.030928e-03"," 1.110223e-18"," 3.092784e-04"," 2.061856e-04"," 2.061856e-04"," 3.092784e-04"," 1.030928e-04","-2.061856e-04"," 5.154639e-04"," 1.030928e-04",-0.000515463917525772,0.000412371134020618,0.000206185567010307,0.000618556701030929,0.000309278350515464,0.000515463917525774,-0.000309278350515463,-0.000103092783505155,0.000103092783505155,0.000412371134020618,0.000206185567010311,-0.000206185567010309,0.000309278350515464,0.00020618556701031,-0.000206185567010309,-1.11022302462516e-18,-0.000515463917525774,-0.00041237113402062,-1.11022302462516e-18,0.000515463917525774,0.000618556701030929,0.00020618556701031,0.000309278350515465,-0.000206185567010311,-0.000412371134020618
"ajcc_metastasis_clinical_cm","-0.0001030928"," 0.0000000000"," 0.0002061856","-0.0002061856","-0.0002061856"," 0.0000000000"," 0.0000000000"," 0.0001030928"," 0.0001030928"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000"," 0.0000000000","-0.0001030928"," 0.0002061856"," 0.0000000000"," 0.0002061856"," 0.0000000000","-0.0001030928",0,0.00020618556701031,0,0,0.00020618556701031,0,0,-0.000309278350515464,0.000206185567010309,0,0,0,0,0,0,-0.000412371134020618,0,0,0,0,0,0,0,0,-0.00020618556701031
"ajcc_nodes_clinical_cn"," 0.000000e+00"," 0.000000e+00"," 2.061856e-04","-2.061856e-04","-1.110223e-18","-3.092784e-04","-6.185567e-04","-7.216495e-04"," 2.061856e-04","-6.185567e-04"," 3.092784e-04","-2.061856e-04"," 7.216495e-04","-3.092784e-04"," 9.278351e-04"," 4.123711e-04","-3.092784e-04"," 0.000000e+00"," 3.092784e-04"," 1.110223e-18","-2.061856e-04","-6.185567e-04"," 3.092784e-04"," 2.061856e-04"," 0.000000e+00",1.11022302462516e-18,0.000927835051546394,-0.000412371134020618,-0.000206185567010311,-1.11022302462516e-18,1.11022302462516e-18,-0.000618556701030927,0.000206185567010309,-0.000309278350515463,-0.000206185567010309,0.000412371134020618,-0.000515463917525772,-0.000103092783505154,0.000103092783505155,0.000206185567010309,0.000309278350515463,-0.000515463917525774,-0.000412371134020618,0,-0.00144329896907216,-0.000309278350515465,-0.00020618556701031,0.000618556701030928,0.000721649484536083,-0.000309278350515464
"ajcc_tumor_clinical_ct"," 0.0006185567"," 0.0003092784","-0.0010309278"," 0.0002061856"," 0.0006185567"," 0.0002061856","-0.0006185567"," 0.0002061856","-0.0005154639"," 0.0005154639","-0.0003092784","-0.0002061856"," 0.0002061856","-0.0002061856","-0.0007216495"," 0.0005154639","-0.0002061856","-0.0006185567"," 0.0000000000"," 0.0002061856","-0.0001030928"," 0.0004123711","-0.0003092784","-0.0006185567","-0.0002061856",0.000206185567010309,0.00020618556701031,-0.000618556701030927,0.000309278350515464,0.000103092783505153,0.000412371134020618,-0.000103092783505155,-0.000515463917525772,-0.000206185567010312,0,-0.000206185567010311,0.0011340206185567,0.000103092783505153,0.000309278350515464,0,0.000824742268041236,-0.000206185567010311,0,-0.00041237113402062,-0.00020618556701031,0.00103092783505155,-0.000103092783505156,0.000103092783505155,-0.000412371134020619,0
"ajcc_metastasis_pathologic_pm"," 0.0007216495"," 0.0008247423","-0.0009278351","-0.0010309278"," 0.0008247423"," 0.0013402062"," 0.0004123711"," 0.0002061856"," 0.0003092784","-0.0002061856","-0.0001030928","-0.0007216495","-0.0003092784","-0.0002061856","-0.0002061856","-0.0001030928","-0.0005154639"," 0.0003092784","-0.0007216495","-0.0009278351","-0.0001030928","-0.0003092784","-0.0001030928"," 0.0000000000","-0.0001030928",0.000515463917525772,-0.00123711340206185,-0.000721649484536081,-0.000515463917525775,-0.000412371134020618,0.000412371134020617,-0.000618556701030926,0.000206185567010312,0.000103092783505156,-0.000412371134020619,0.000618556701030929,-0.000103092783505156,-0.000103092783505154,-0.000103092783505154,-0.00061855670103093,0.000515463917525772,0.000515463917525772,1.11022302462516e-18,0.000206185567010309,-0.00020618556701031,0.000618556701030927,0.00020618556701031,-0.000412371134020618,0.000618556701030929,0.00103092783505155
"ajcc_nodes_pathologic_pn","-2.220446e-18"," 1.110223e-18"," 8.247423e-04"," 6.185567e-04"," 1.237113e-03"," 0.000000e+00"," 1.110223e-18","-4.123711e-04"," 2.061856e-04"," 8.247423e-04","-1.237113e-03","-6.185567e-04"," 1.237113e-03","-2.061856e-04"," 2.061856e-04"," 1.443299e-03"," 4.123711e-04"," 8.247423e-04"," 2.061856e-04"," 8.247423e-04","-2.061856e-04"," 6.185567e-04","-1.110223e-18","-2.061856e-04","-2.061856e-04",0.000206185567010309,-0.000824742268041237,0.000618556701030928,1.11022302462516e-18,0.000412371134020618,0.00164948453608247,-0.000412371134020617,1.11022302462516e-18,0,0.000618556701030927,0,0,-0.00103092783505155,-1.11022302462516e-18,-0.00061855670103093,0.000206185567010307,0.000824742268041236,0.000618556701030927,0.00020618556701031,0.00103092783505155,0.000412371134020619,0.000824742268041239,-0.000412371134020619,0.000618556701030928,0.000206185567010307
"ajcc_tumor_pathologic_pt","-0.0007216495"," 0.0006185567"," 0.0006185567"," 0.0000000000"," 0.0006185567"," 0.0009278351"," 0.0004123711"," 0.0003092784"," 0.0002061856"," 0.0001030928","-0.0001030928"," 0.0004123711","-0.0004123711"," 0.0004123711","-0.0001030928","-0.0003092784","-0.0001030928","-0.0004123711","-0.0011340206"," 0.0007216495"," 0.0007216495","-0.0004123711","-0.0003092784","-0.0005154639"," 0.0008247423",0.000309278350515465,0.00020618556701031,0.000206185567010309,-0.00020618556701031,-0.000618556701030927,-0.000412371134020617,0.000103092783505155,0.000927835051546393,-0.000721649484536086,0.000103092783505156,-0.000103092783505156,-0.00041237113402062,-0.000824742268041236,-0.000927835051546391,1.11022302462516e-18,-0.00041237113402062,0.000309278350515464,-0.0011340206185567,-0.000206185567010309,0.0011340206185567,0.00103092783505154,0.000412371134020618,0.000103092783505155,0.000103092783505155,0.000103092783505152
"rad_imp_rf"," 4.123711e-04"," 6.185567e-04"," 4.123711e-04"," 5.154639e-04"," 3.092784e-04","-1.030928e-04"," 1.030928e-03"," 5.154639e-04","-3.092784e-04","-2.061856e-04"," 4.123711e-04"," 2.061856e-04"," 1.855670e-03"," 5.154639e-04"," 5.154639e-04","-1.110223e-18"," 7.216495e-04"," 3.092784e-04"," 5.154639e-04"," 1.110223e-18"," 4.123711e-04"," 4.123711e-04"," 2.061856e-04"," 1.237113e-03"," 6.185567e-04",0.000412371134020619,0.000206185567010311,-0.000515463917525774,0.000309278350515465,0.000412371134020618,0.00164948453608248,0.00020618556701031,0.000412371134020619,0,0.000103092783505155,0.000206185567010309,-0.000103092783505155,0.00134020618556701,0.000309278350515464,-0.000206185567010311,-0.000412371134020618,0.000515463917525772,1.11022302462516e-18,0.000309278350515463,0.000927835051546391,0.000927835051546392,0.00144329896907217,-0.000103092783505154,0.000618556701030928,0.000721649484536081
"chem_imp_rf"," 0.0010309278"," 0.0002061856"," 0.0005154639"," 0.0006185567"," 0.0004123711"," 0.0012371134"," 0.0006185567"," 0.0010309278"," 0.0010309278"," 0.0007216495"," 0.0003092784"," 0.0009278351"," 0.0012371134"," 0.0010309278","-0.0002061856"," 0.0004123711"," 0.0004123711"," 0.0001030928","-0.0001030928"," 0.0004123711"," 0.0002061856"," 0.0001030928"," 0.0007216495"," 0.0009278351"," 0.0006185567",0.000103092783505154,2.22044604925031e-18,0.00020618556701031,0.000618556701030926,0.000515463917525771,0.00020618556701031,0.000515463917525775,0.000721649484536083,0.000927835051546391,0.000824742268041239,0.000206185567010311,0.000309278350515464,0.0011340206185567,0.000618556701030929,0.000309278350515463,0.000515463917525774,0.000618556701030928,0.00134020618556701,0.000618556701030927,0.000309278350515465,0.000103092783505156,0.000824742268041236,0.00103092783505155,0.00175257731958763,0.000103092783505154
"surg"," 2.061856e-04"," 2.061856e-04"," 1.110223e-18"," 0.000000e+00","-1.030928e-04"," 1.030928e-04"," 0.000000e+00"," 0.000000e+00"," 2.061856e-04","-2.061856e-04"," 0.000000e+00"," 2.061856e-04"," 4.123711e-04","-2.061856e-04","-5.154639e-04"," 2.061856e-04"," 0.000000e+00"," 4.123711e-04"," 2.061856e-04"," 2.061856e-04"," 0.000000e+00"," 0.000000e+00","-1.030928e-04","-1.110223e-18"," 1.030928e-04",-0.00020618556701031,-0.000206185567010309,-0.000103092783505154,0,0,-0.00020618556701031,0,-0.000412371134020619,0.000206185567010309,0.000103092783505155,0.000309278350515464,-0.00020618556701031,0,-0.000412371134020618,-0.00020618556701031,0.000206185567010307,0.000309278350515464,-0.000412371134020618,-0.00020618556701031,0.000412371134020619,0.00020618556701031,0.00020618556701031,0.000103092783505154,0,-0.00020618556701031
